semester,section,subject_code,subject_name,subject_type,teacher_name,room
3,I1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,I1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,I1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,I1,BCSE-856,Computer Vision,Theory,,
3,I1,BMAT-003C,Statistical Techniques,Theory,,
3,I1,BHUM-118,Human Value & Ethics,Theory,,
3,I1,BET-I,Employability Training-I,Training,,
3,I2,BCSE-501,Data Structure and Algorithms,Theory,,
3,I2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,I2,BCSE-502,Software Engineering,Theory,,
3,I2,BCSE-502L,Software Engineering Lab,Lab,,
3,I2,BCSE-503,Database Management System,Theory,,
3,I2,BCSE-503L,Database Management System Lab,Lab,,
3,I2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,I2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,I2,BCSE-505,Discrete Structures,Theory,,
3,I2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,I2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,I2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,I2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,I2,BCSE-856,Computer Vision,Theory,,
3,I2,BMAT-003C,Statistical Techniques,Theory,,
3,I2,BHUM-118,Human Value & Ethics,Theory,,
3,I2,BET-I,Employability Training-I,Training,,
3,J1,BCSE-501,Data Structure and Algorithms,Theory,,
3,J1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,J1,BCSE-502,Software Engineering,Theory,,
3,J1,BCSE-502L,Software Engineering Lab,Lab,,
3,J1,BCSE-503,Database Management System,Theory,,
3,J1,BCSE-503L,Database Management System Lab,Lab,,
3,J1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,J1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,J1,BCSE-505,Discrete Structures,Theory,,
3,J1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,J1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,J1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,J1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,J1,BCSE-856,Computer Vision,Theory,,
3,J1,BMAT-003C,Statistical Techniques,Theory,,
3,J1,BHUM-118,Human Value & Ethics,Theory,,
3,J1,BET-I,Employability Training-I,Training,,
3,J2,BCSE-501,Data Structure and Algorithms,Theory,,
3,J2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,J2,BCSE-502,Software Engineering,Theory,,
3,J2,BCSE-502L,Software Engineering Lab,Lab,,
3,J2,BCSE-503,Database Management System,Theory,,
3,J2,BCSE-503L,Database Management System Lab,Lab,,
3,J2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,J2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,J2,BCSE-505,Discrete Structures,Theory,,
3,J2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,J2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,J2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,J2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,J2,BCSE-856,Computer Vision,Theory,,
3,J2,BMAT-003C,Statistical Techniques,Theory,,
3,J2,BHUM-118,Human Value & Ethics,Theory,,
3,J2,BET-I,Employability Training-I,Training,,
3,K1,BCSE-501,Data Structure and Algorithms,Theory,,
3,K1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,K1,BCSE-502,Software Engineering,Theory,,
3,K1,BCSE-502L,Software Engineering Lab,Lab,,
3,K1,BCSE-503,Database Management System,Theory,,
3,K1,BCSE-503L,Database Management System Lab,Lab,,
3,K1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,K1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,K1,BCSE-505,Discrete Structures,Theory,,
3,K1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,K1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,K1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,K1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,K1,BCSE-856,Computer Vision,Theory,,
3,K1,BMAT-003C,Statistical Techniques,Theory,,
3,K1,BHUM-118,Human Value & Ethics,Theory,,
3,K1,BET-I,Employability Training-I,Training,,
3,K2,BCSE-501,Data Structure and Algorithms,Theory,,
3,K2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,K2,BCSE-502,Software Engineering,Theory,,
3,K2,BCSE-502L,Software Engineering Lab,Lab,,
3,K2,BCSE-503,Database Management System,Theory,,
3,K2,BCSE-503L,Database Management System Lab,Lab,,
3,K2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,K2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,K2,BCSE-505,Discrete Structures,Theory,,
3,K2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,K2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,K2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,K2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,K2,BCSE-856,Computer Vision,Theory,,
3,K2,BMAT-003C,Statistical Techniques,Theory,,
3,K2,BHUM-118,Human Value & Ethics,Theory,,
3,K2,BET-I,Employability Training-I,Training,,
3,L1,BCSE-501,Data Structure and Algorithms,Theory,,
3,L1,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,L1,BCSE-502,Software Engineering,Theory,,
3,L1,BCSE-502L,Software Engineering Lab,Lab,,
3,L1,BCSE-503,Database Management System,Theory,,
3,L1,BCSE-503L,Database Management System Lab,Lab,,
3,L1,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,L1,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,L1,BCSE-505,Discrete Structures,Theory,,
3,L1,BCSE-854,Introduction to Generative AI Models,Theory,,
3,L1,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,L1,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,L1,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,L1,BCSE-856,Computer Vision,Theory,,
3,L1,BMAT-003C,Statistical Techniques,Theory,,
3,L1,BHUM-118,Human Value & Ethics,Theory,,
3,L1,BET-I,Employability Training-I,Training,,
3,L2,BCSE-501,Data Structure and Algorithms,Theory,,
3,L2,BCSE-501L,Data Structure and Algorithms Lab,Lab,,
3,L2,BCSE-502,Software Engineering,Theory,,
3,L2,BCSE-502L,Software Engineering Lab,Lab,,
3,L2,BCSE-503,Database Management System,Theory,,
3,L2,BCSE-503L,Database Management System Lab,Lab,,
3,L2,BCSE-504,Object Oriented Programming Using JAVA,Theory,,
3,L2,BCSE-504L,Object Oriented Programming Using JAVA Lab,Lab,,
3,L2,BCSE-505,Discrete Structures,Theory,,
3,L2,BCSE-854,Introduction to Generative AI Models,Theory,,
3,L2,BCSE-854L,Introduction to Generative AI Models Lab,Lab,,
3,L2,BCSE-855,Natural Language Processing with Transformers,Theory,,
3,L2,BCSE-855L,Natural Language Processing with Transformers Lab,Lab,,
3,L2,BCSE-856,Computer Vision,Theory,,
3,L2,BMAT-003C,Statistical Techniques,Theory,,
3,L2,BHUM-118,Human Value & Ethics,Theory,,
3,L2,BET-I,Employability Training-I,Training,,
